Device Serial:	0001
Estimated Duration[s]:	310.9626770019536
Start Time:	2022-10-10 13:17:23
Estimated End:	2022-10-10 13:22:34
Lower Bound[V]:	2.6
Upper Bound[V]:	2.7
Start Voltage[V]:	2.689037322998047
Stop Voltage[V]:	2.6
Scan Rate[V/s]:	0.001
Cycles:	1
Samples to Average:	1

Elapsed_Time(s)	Potential(V)	Current(A)	Cycle
3.692538e+01	2.673805e+00	-6.102744e-04	1
3.701404e+01	2.673664e+00	-6.170552e-04	1
3.710449e+01	2.673573e+00	-6.174208e-04	1
3.719730e+01	2.673531e+00	-6.220082e-04	1
3.728447e+01	2.673409e+00	-6.244729e-04	1
3.737559e+01	2.673347e+00	-6.289777e-04	1
3.746362e+01	2.673199e+00	-6.311004e-04	1
3.755945e+01	2.673191e+00	-6.337066e-04	1
3.764469e+01	2.673065e+00	-6.343788e-04	1
3.773284e+01	2.672974e+00	-6.381996e-04	1
3.782504e+01	2.672867e+00	-6.422209e-04	1
3.791880e+01	2.672817e+00	-6.452045e-04	1
3.800481e+01	2.672699e+00	-6.481055e-04	1
3.809472e+01	2.672596e+00	-6.513603e-04	1
3.818429e+01	2.672493e+00	-6.544264e-04	1
3.828021e+01	2.672356e+00	-6.583180e-04	1
3.836438e+01	2.672333e+00	-6.596034e-04	1
3.845456e+01	2.672226e+00	-6.632120e-04	1
3.854385e+01	2.672157e+00	-6.643087e-04	1
3.863862e+01	2.672028e+00	-6.691909e-04	1
3.872553e+01	2.671947e+00	-6.732123e-04	1
3.881456e+01	2.671883e+00	-6.749930e-04	1
3.890471e+01	2.671841e+00	-6.761722e-04	1
3.899819e+01	2.671734e+00	-6.780355e-04	1
3.908500e+01	2.671597e+00	-6.834601e-04	1
3.917554e+01	2.671524e+00	-6.849814e-04	1
3.926324e+01	2.671425e+00	-6.895452e-04	1
3.936038e+01	2.671333e+00	-6.906183e-04	1
3.944452e+01	2.671257e+00	-6.937316e-04	1
3.953405e+01	2.671082e+00	-6.974817e-04	1
3.962518e+01	2.671143e+00	-6.980360e-04	1
3.971682e+01	2.670986e+00	-7.042979e-04	1
3.980477e+01	2.670883e+00	-7.053829e-04	1
3.989415e+01	2.670902e+00	-7.067390e-04	1
3.998330e+01	2.670708e+00	-7.099584e-04	1
4.007854e+01	2.670643e+00	-7.111377e-04	1
4.016401e+01	2.670616e+00	-7.184256e-04	1
4.025430e+01	2.670395e+00	-7.198761e-04	1
4.034498e+01	2.670444e+00	-7.181662e-04	1
4.043418e+01	2.670273e+00	-7.269046e-04	1
4.052448e+01	2.670208e+00	-7.266334e-04	1
4.061120e+01	2.670078e+00	-7.316925e-04	1
4.070379e+01	2.669987e+00	-7.324354e-04	1
4.079761e+01	2.669960e+00	-7.350180e-04	1
4.088439e+01	2.669830e+00	-7.390158e-04	1
4.097471e+01	2.669735e+00	-7.422706e-04	1
